"","LANDIS_test","LANDIS_traits","LandR","KNN","CASFRI","Latin_full","EN_generic_short","EN_generic_full","Leading","Notes","Boreal"
"185","","","Tsug_sp","Tsug_Spp","Tsug spp","Tsuga spp.","","","","","Tsug_Spp"
"186","","","Ulmu_ame","Ulmu_Ame","Ulmu amer","Ulmus americana","","","","",""
"187","","","Ulmu_pum","Ulmu_Rub","Ulmu pumi","Ulmus pumila","","","","",""
"188","","","Ulmu_rub","Ulmu_Spp","Ulmu rubr","Ulmus rubra","","","","",""
"189","","","Ulmu_sp","Ulmu_Tho","Ulmu spp","Ulmus spp.","","","","",""
"190","","","","","Ulmu thom","Ulmus thomasii","","","","",""
"191","","","","Generic_BroadLeaf_Spp","Hard unkn","","Decid","Deciduous","Deciduous leading","",""
"192","","","","Generic_NeedleLeaf_Spp","Soft unkn","","Conif","Coniferous","Coniferous leading","",""
"193","","","","","Nonc hard","","Decid","Deciduous","Deciduous leading","",""
"194","","","","","Hard tole","","","","","",""
"195","","","","","Hard into","","","","","",""
"196","","","","","Mois hard","","","","","",""
"197","","","","","Uncl spp","","","","","",""
